SampleID	Cluster
MP17079_S43	7
MP17313_S47	1
MP17345_S17	5
MP17361_S52	7
MP17402_S25	7
MP17602_S58	3
MP17854_S79	4
MP17932_S66	7
MP18137_S88	8
MP18228_S49	3
MP18465_S10	3
MP18466_S41	4
MP18666_S8	1
MP18668_S73	5
MP18687_S90	3
MP18825_S1	4
MP18897_S28	5
MP18985_S50	2
MP19241_S69	4
MP19276_S22	6
MP19626_S20	7
MP19681_S14	7
MP19753_S75	5
MP19759_S81	4
MP19857_S89	1
MP10603_S58	1
MP10610_S83	6
MP10974_S28	2
MP10991_S82	8
MP11088_S71	8
MP11261_S22	3
MP11272_S81	1
MP11388_S6	2
MP11469_S2	5
MP11470_S75	8
MP11486_S5	3
MP11518_S76	8
MP11537_S32	2
MP11541_S73	8
MP11583_S61	6
MP11598_S51	8
MP11695_S89	6
MP11751_S79	8
MP11754_S46	8
MP11770_S91	8
MP11849_S39	2
MP11943_S12	2
MP12007_S94	2
MP12269_S17	2
MP12367_S14	2
MP12380_S56	6
MP12411_S11	8
MP12589_S8	2
MP12677_S41	8
MP13014_S50	8
MP13065_S45	8
MP13305_S20	2
MP13380_S43	5
MP13567_S54	8
MP13576_S62	6
MP13671_S70	6
MP13701_S86	8
MP13824_S34	8
MP13832_S37	2
MP13906_S40	2
MP14288_S10	5
MP14548_S4	2
MP14620_S57	8
MP14668_S52	2
MP14904_S55	2
MP15284_S1	3
MP15448_S67	8
MP15719_S3	5
MP15722_S77	8
MP15772_S44	6
MP15819_S72	8
MP15843_S66	6
MP15864_S13	6
MP15911_S63	6
MP15984_S15	2
MP16006_S59	8
MP16331_S29	2
MP16780_S95	8
MP16783_S42	5
MP17263_S21	6
MP17664_S33	8
MP17676_S78	8
MP17758_S65	8
MP17874_S35	2
MP17999_S24	8
MP18248_S16	6
MP18311_S38	6
MP18321_S31	4
MP18459_S23	2
MP18494_S19	6
MP18534_S69	8
MP19171_S87	5
MP19238_S7	2
MP19270_S9	5
MP19348_S90	8
MP19732_S18	8
MP19757_S80	8
MP19790_S30	8
MP19852_S68	8
MP10042_S74	6
MP10173_S83	3
MP10342_S26	3
MP10538_S51	4
MP10557_S66	3
MP10581_S12	5
MP11075_S6	4
MP11147_S36	3
MP11166_S13	2
MP11241_S56	2
MP11468_S29	5
MP11568_S60	6
MP11657_S80	5
MP11945_S93	4
MP12150_S59	8
MP12164_S17	8
MP12309_S58	5
MP12345_S95	5
MP12363_S24	3
MP12403_S91	3
MP12406_S40	7
MP12408_S79	3
MP12444_S88	3
MP12519_S16	4
MP12741_S20	8
MP12814_S18	7
MP12875_S49	3
MP12921_S78	7
MP12967_S37	4
MP13157_S62	2
MP13338_S21	3
MP13423_S38	2
MP13459_S68	4
MP13468_S86	3
MP13538_S42	3
MP13564_S69	5
MP13604_S48	5
MP13660_S34	5
MP13761_S50	1
MP13853_S32	4
MP13969_S33	4
MP13988_S54	3
MP14005_S14	3
MP14061_S25	5
MP14131_S57	7
MP14804_S28	1
MP14833_S31	1
MP15023_S92	2
MP15069_S75	3
MP15192_S23	5
MP15332_S9	8
MP15373_S22	7
MP15453_S4	8
MP15577_S82	7
MP15710_S10	2
MP16152_S94	8
MP16231_S41	7
MP16281_S71	6
MP16388_S3	5
MP16622_S8	2
MP16720_S27	7
MP16833_S5	3
MP17289_S52	7
MP17499_S63	7
MP17597_S61	8
MP17637_S47	6
MP17796_S46	8
MP17834_S87	3
MP18046_S76	7
MP18422_S43	2
MP18514_S72	8
MP19197_S70	7
MP19440_S55	4
MP19715_S53	1
MP19746_S77	4
MP19842_S67	2
MP19872_S89	5
MP10024_S1	5
MP10049_S60	2
MP10240_S73	1
MP10388_S34	7
MP10476_S68	7
MP10495_S17	5
MP10662_S41	3
MP10664_S48	3
MP11085_S77	8
MP11287_S4	2
MP11399_S64	4
MP11416_S65	4
MP11543_S42	2
MP11594_S12	7
MP12059_S36	7
MP12082_S69	8
MP12442_S27	1
MP12480_S71	5
MP12493_S6	2
MP12623_S23	1
MP12624_S29	3
MP12703_S10	5
MP12896_S62	5
MP13061_S30	7
MP13343_S54	6
MP13416_S74	3
MP13439_S50	6
MP13457_S58	7
MP13552_S9	2
MP13560_S24	7
MP13848_S33	6
MP13869_S31	3
MP13934_S40	1
MP14027_S75	5
MP14122_S3	8
MP14259_S22	4
MP14454_S52	4
MP14532_S81	3
MP14563_S59	1
MP14817_S66	4
MP15199_S82	5
MP15218_S2	7
MP15239_S7	1
MP15325_S63	7
MP15364_S43	3
MP15582_S72	1
MP15623_S18	7
MP15924_S84	3
MP16359_S46	3
MP16435_S47	5
MP16714_S51	2
MP16727_S78	7
MP17106_S14	1
MP17134_S16	3
MP17654_S5	7
MP17687_S35	7
MP17824_S67	6
MP17980_S11	3
MP18161_S32	3
MP18222_S83	3
MP18341_S70	8
MP18347_S13	4
MP18951_S61	8
MP19121_S8	4
MP19679_S26	5
MP10186_S95	8
MP10365_S34	7
MP10743_S67	5
MP10798_S44	6
MP11154_S23	4
MP11210_S88	6
MP11249_S60	3
MP11476_S55	5
MP11857_S49	4
MP11885_S93	2
MP11895_S48	7
MP12026_S64	3
MP12046_S3	8
MP12097_S58	4
MP12240_S65	2
MP12537_S15	6
MP12605_S63	3
MP12713_S56	8
MP12750_S41	5
